111	162	1
111	382	5
111	607	2
111	774	5
111	992	3
111	1003	3
111	1095	1
111	1234	15
111	1520	1
111	1854	1
111	2409	5
111	2422	1
111	2698	1
111	2721	1
111	2734	2
111	2775	1
111	2793	1
111	2798	1
111	2821	2
111	2837	5
111	2883	2
111	2890	1
111	2902	1
111	2903	2
111	3032	1
111	3431	2
111	3445	1
111	3472	9
111	3544	4
111	3733	2
111	3872	2
111	3960	2
111	3969	2
111	4057	1
111	4180	2
111	4182	1
111	4190	2
111	4483	3
111	4707	1
111	4800	3
111	5023	2
111	5184	3
111	5196	1
111	5207	1
111	5539	1
111	5588	1
111	5774	5
111	5935	5
111	6387	2
162	372	1
162	382	14
162	742	1
162	774	1
162	775	4
162	992	1
162	1095	1
162	1234	1
162	1520	1
162	1525	2
162	2409	3
162	2698	3
162	2721	1
162	2734	1
162	2793	2
162	2798	1
162	2837	2
162	2873	1
162	2874	1
162	2902	2
162	3067	1
162	3068	1
162	3359	3
162	3367	1
162	3370	1
162	3472	4
162	3544	1
162	3707	4
162	3960	1
162	3969	1
162	5774	1
162	6268	1
372	382	13
372	540	1
372	598	1
372	607	5
372	775	7
372	1505	3
372	1520	1
372	1525	2
372	2422	2
372	2698	24
372	2793	1
372	2837	1
372	2873	1
372	2902	13
372	3056	2
372	3370	1
372	3445	1
372	3472	12
372	3733	1
372	3969	1
372	4020	1
372	4180	3
372	4707	1
372	5416	1
372	6396	1
372	6494	1
382	540	13
382	550	2
382	598	10
382	607	5
382	742	5
382	774	7
382	775	17
382	927	8
382	992	5
382	1003	1
382	1095	18
382	1234	4
382	1505	14
382	1520	7
382	1525	5
382	1854	3
382	2143	4
382	2241	7
382	2409	18
382	2422	5
382	2698	18
382	2721	19
382	2734	13
382	2775	1
382	2776	1
382	2793	18
382	2798	9
382	2821	3
382	2837	20
382	2873	4
382	2874	2
382	2883	2
382	2890	1
382	2902	12
382	2903	1
382	3032	2
382	3056	7
382	3067	12
382	3068	10
382	3118	7
382	3138	3
382	3190	9
382	3290	2
382	3359	1
382	3367	3
382	3370	6
382	3431	2
382	3445	4
382	3472	71
382	3474	9
382	3544	12
382	3707	6
382	3733	4
382	3960	5
382	3969	6
382	4020	2
382	4057	4
382	4180	6
382	4182	21
382	4190	6
382	4483	4
382	4707	1
382	4800	4
382	5023	1
382	5131	2
382	5184	2
382	5207	2
382	5342	3
382	5416	3
382	5539	1
382	5588	1
382	5618	1
382	5774	4
382	5935	7
382	6268	9
382	6387	4
382	6396	1
382	6494	9
540	550	2
540	598	2
540	742	2
540	774	1
540	927	3
540	1095	4
540	1505	3
540	1525	2
540	2143	1
540	2241	2
540	2409	3
540	2422	3
540	2698	1
540	2721	4
540	2734	2
540	2793	3
540	2798	1
540	2821	1
540	2837	8
540	2873	1
540	2883	1
540	2902	1
540	3032	1
540	3056	2
540	3067	2
540	3068	2
540	3118	6
540	3138	1
540	3190	2
540	3290	3
540	3370	2
540	3431	1
540	3445	1
540	3472	9
540	3474	2
540	3544	1
540	3707	1
540	3733	2
540	3960	2
540	3969	3
540	4020	4
540	4044	1
540	4057	2
540	4087	2
540	4182	7
540	4190	1
540	4707	1
540	5131	1
540	5184	1
540	5342	1
540	5416	5
540	5539	1
540	5935	1
540	6268	2
540	6494	4
550	598	1
550	607	1
550	774	2
550	775	1
550	927	1
550	1095	1
550	1505	4
550	2143	1
550	2409	1
550	2721	1
550	2734	1
550	2775	1
550	2793	1
550	2837	4
550	2883	2
550	3067	1
550	3068	1
550	3118	11
550	3138	2
550	3190	1
550	3290	1
550	3445	2
550	3472	4
550	3474	1
550	3544	2
550	3733	2
550	3872	1
550	3960	6
550	3969	1
550	4020	9
550	4044	5
550	4087	6
550	4182	4
550	4190	2
550	5131	1
550	5184	1
550	5196	2
550	5207	1
550	5416	2
550	5618	1
598	607	2
598	742	1
598	774	2
598	992	2
598	1003	1
598	1095	10
598	1505	21
598	1520	13
598	1525	1
598	1854	2
598	2143	2
598	2241	2
598	2409	5
598	2698	1
598	2721	11
598	2734	4
598	2775	3
598	2776	1
598	2793	8
598	2798	6
598	2821	1
598	2837	7
598	2873	2
598	2874	2
598	2883	4
598	2903	3
598	3067	4
598	3068	5
598	3118	8
598	3138	2
598	3190	4
598	3290	3
598	3359	1
598	3367	1
598	3370	1
598	3431	1
598	3445	1
598	3472	10
598	3474	1
598	3544	5
598	3707	4
598	3733	7
598	3960	1
598	3969	2
598	4020	5
598	4044	3
598	4057	6
598	4087	4
598	4180	1
598	4182	3
598	4190	3
598	4483	2
598	5023	1
598	5207	1
598	5342	1
598	5416	4
598	5539	1
598	5618	2
598	6268	3
598	6396	2
607	774	2
607	775	1
607	927	1
607	1003	2
607	1095	7
607	1234	1
607	1505	3
607	1520	1
607	1854	1
607	2422	1
607	2698	6
607	2721	3
607	2793	2
607	2837	4
607	2902	3
607	2903	1
607	3032	1
607	3056	2
607	3068	1
607	3118	1
607	3138	1
607	3359	1
607	3367	1
607	3431	2
607	3472	9
607	3474	1
607	3872	1
607	3960	3
607	3969	5
607	4020	2
607	4044	1
607	4087	1
607	4180	2
607	4182	3
607	4190	2
607	4483	2
607	4707	2
607	4800	1
607	5023	1
607	5184	1
